"studentID" "Exam" "Revise" "Anxiety" "bestanden" "fehlendePunkte" "Note" "Note_2" "Durchschnitt"
"40" 40 20 15 82.268 "durchgefallen" 80 5 3 4
"41" 41 45 8 78.238 "durchgefallen" 55 5 4 4.5
"42" 42 60 34 72.596 "bestanden" 40 4 5 4.5
"43" 43 70 22 74.208 "bestanden" 30 3 2 2.5
"44" 44 50 21 75.82 "bestanden" 50 4 4 4
"45" 45 25 27 70.984 "durchgefallen" 75 5 3 4
"46" 46 50 6 97.582 "bestanden" 50 4 2 3
"47" 47 40 18 67.76 "durchgefallen" 60 5 4 4.5
"48" 48 80 8 75.014 "bestanden" 20 2 2 2
"49" 49 50 19 73.402 "bestanden" 50 4 2 3
"50" 50 35 0 93.552 "durchgefallen" 65 5 4 4.5
"51" 51 80 52 58.894 "bestanden" 20 2 5 3.5
"52" 52 50 38 53.252 "bestanden" 50 4 4 4
"53" 53 49 19 84.686 "durchgefallen" 51 5 2 3.5
"54" 54 75 23 89.522 "bestanden" 25 3 4 3.5
"55" 55 25 11 71.79 "durchgefallen" 75 5 4 4.5
"56" 56 65 27 82.268 "bestanden" 35 3 3 3
"57" 57 80 17 69.372 "bestanden" 20 2 4 3
"58" 58 50 13 62.118 "bestanden" 50 4 1 2.5
"59" 59 70 42 68.566 "bestanden" 30 3 2 2.5
"60" 60 40 4 93.552 "durchgefallen" 60 5 4 4.5
"61" 61 80 8 84.686 "bestanden" 20 2 3 2.5
"62" 62 10 6 82.268 "durchgefallen" 90 5 4 4.5
"63" 63 20 11 81.462 "durchgefallen" 80 5 5 5
"64" 64 40 7 82.268 "durchgefallen" 60 5 1 3
"65" 65 40 15 91.134 "durchgefallen" 60 5 3 4
"66" 66 70 4 91.94 "bestanden" 30 3 3 3
"67" 67 52 28 86.298 "bestanden" 48 4 2 3
"68" 68 50 22 72.596 "bestanden" 50 4 5 4.5
"69" 69 60 29 63.73 "bestanden" 40 4 1 2.5
"70" 70 80 2 63.73 "bestanden" 20 2 4 3
"71" 71 60 16 71.79 "bestanden" 40 4 3 3.5
"72" 72 65 59 57.282 "bestanden" 35 3 2 2.5
"73" 73 15 10 84.686 "durchgefallen" 85 5 4 4.5
"74" 74 85 13 84.686 "bestanden" 15 2 2 2
"75" 75 20 8 77.432 "durchgefallen" 80 5 2 3.5
"76" 76 80 5 82.268 "bestanden" 20 2 4 3
"77" 77 100 2 10 "bestanden" 0 1 2 1.5
"78" 78 100 38 50.834 "bestanden" 0 1 3 2
"79" 79 80 4 87.91 "bestanden" 20 2 2 2
"80" 80 10 10 83.88 "durchgefallen" 90 5 1 3
"81" 81 70 6 84.686 "bestanden" 30 3 4 3.5
"82" 82 100 68 20.206 "bestanden" 0 1 5 3
"83" 83 70 8 87.104 "bestanden" 30 3 3 3
"84" 84 70 1 83.88 "bestanden" 30 3 4 3.5
"85" 85 65 14 67.76 "bestanden" 35 3 1 2
"86" 86 75 42 95.97 "bestanden" 25 3 3 3
"87" 87 85 13 62.118 "bestanden" 15 2 4 3
"88" 88 30 1 84.686 "durchgefallen" 70 5 4 4.5
"89" 89 5 3 92.746 "durchgefallen" 95 5 3 4
"90" 90 10 5 84.686 "durchgefallen" 90 5 3 4
"91" 91 90 12 83.074 "bestanden" 10 2 2 2
"92" 92 70 19 73.402 "bestanden" 30 3 2 2.5
"93" 93 20 2 87.91 "durchgefallen" 80 5 5 5
"94" 94 85 19 71.79 "bestanden" 15 2 1 1.5
"95" 95 35 11 86.298 "durchgefallen" 65 5 4 4.5
"96" 96 30 15 84.686 "durchgefallen" 70 5 1 3
"97" 97 70 23 75.82 "bestanden" 30 3 1 2
"98" 98 55 13 70.984 "bestanden" 45 4 4 4
"99" 99 75 14 78.238 "bestanden" 25 3 5 4
"100" 100 2 1 82.268 "durchgefallen" 98 5 3 4
"101" 101 40 9 79.044 "durchgefallen" 60 5 3 4
"102" 102 50 20 91.134 "bestanden" 50 4 3 3.5
